LabVIEW					
Separator	Tab				
Decimal_Separator	.				
Date	17/02/2021				
					
Location		1/4L	1/2L	3/4L	
Time	Load (Mean)	WG 16 (Mean)	WG 4 (Mean)	WG 2 (Mean)	Comment
sec	kN	mm	V	mm	
112.634442	6.931586	384.562485	6.083461172	391.529121	
113.683514	6.984045	384.563019	6.083501401	391.528088	
114.733868	7.063711	384.564128	6.083557558	391.527399	
115.787388	7.156294	384.564701	6.083556445	391.527433	
116.839392	7.268351	384.560519	6.083473131	391.525858	
117.894331	7.358562	384.555908	6.083451018	391.521645	
118.944096	7.476265	384.555047	6.083449766	391.519915	
119.997298	7.597807	384.5552	6.083607838	391.52161	
121.0481	7.726055	384.547254	6.083496602	391.517991	
122.099008	7.868346	384.542523	6.083557244	391.51744	
123.148915	8.005525	384.543107	6.083686629	391.51692	
124.198139	8.136978	384.539447	6.083613297	391.512431	
125.250664	8.253947	384.5365	6.08389352	391.510886	
126.301845	8.359127	384.53502	6.083858958	391.509542	
127.353269	8.454232	384.531025	6.083791188	391.507457	
128.402716	8.536904	384.52985	6.083815597	391.507462	
129.452383	8.577789	384.528559	6.083735102	391.505007	
130.504471	8.614564	384.529747	6.08390124	391.506097	
131.556926	8.664751	384.52623	6.083853777	391.504066	
132.61063	8.675543	384.526167	6.083828394	391.503081	
133.662029	8.699492	384.526158	6.08385635	391.502549	
134.710345	8.731559	384.524804	6.083832428	391.500674	
135.761718	8.77353	384.521288	6.083767474	391.498855	
136.813515	8.833887	384.525876	6.083866713	391.500756	
137.864281	8.909582	384.519211	6.083903431	391.498029	
138.915563	9.015083	384.520868	6.083974818	391.498576	
139.965743	9.111645	384.521578	6.084064007	391.498703	
141.019427	9.236934	384.517759	6.084200624	391.498011	
142.071561	9.357652	384.517028	6.084277748	391.496909	
143.124861	9.515629	384.516769	6.084437662	391.49512	
144.178053	9.691936	384.51435	6.084644345	391.492794	
145.248591	9.889264	384.509643	6.084666564	391.490415	
146.300948	10.055583	384.50409	6.084589579	391.4853	
147.352402	10.222539	384.501577	6.084810691	391.484196	
148.406258	10.366378	384.499956	6.0847722	391.481351	
149.455606	10.454575	384.493614	6.084711351	391.478261	
150.50625	10.527413	384.497024	6.084732386	391.479837	
151.559505	10.551165	384.493392	6.084733221	391.47803	
152.610157	10.514329	384.49205	6.084711907	391.47614	
153.663894	10.233971	384.495007	6.084573201	391.478808	
154.715066	10.25569	384.495601	6.084645248	391.47934	
155.764722	10.396661	384.489746	6.084616111	391.475802	
156.815726	10.570328	384.491349	6.08482387	391.476606	
157.864823	10.611374	384.49488	6.084936914	391.478141	
158.920067	10.692666	384.487729	6.084791012	391.474607	
159.972149	10.782688	384.487906	6.084820323	391.474688	
161.023642	10.928229	384.489103	6.084903708	391.474996	
162.075568	11.071213	384.487859	6.084953465	391.473784	
163.12628	11.230595	384.48186	6.084851132	391.470002	
164.190897	11.388737	384.484683	6.084976554	391.470454	
165.241435	11.545469	384.479542	6.084918103	391.467805	
166.295802	11.658899	384.476712	6.085025687	391.464671	
167.348024	11.745922	384.473147	6.084926587	391.463095	
168.398406	11.813884	384.471117	6.084949327	391.462253	
169.450817	11.874388	384.467829	6.084982498	391.46084	
170.503513	11.940983	384.471796	6.085026208	391.462105	
171.5532	11.978595	384.469237	6.08512016	391.462044	
172.60436	12.03138	384.469223	6.084940704	391.459552	
173.655599	12.085435	384.463806	6.084832634	391.458207	
174.705058	12.128537	384.465234	6.084929751	391.459686	
175.755758	12.168646	384.465916	6.084922448	391.456747	
176.805612	12.228828	384.460357	6.084976137	391.452107	
177.859191	12.314601	384.462285	6.085080311	391.452024	
178.910286	12.399882	384.462535	6.085004927	391.449173	
179.961671	12.501367	384.459539	6.084841083	391.443718	
181.017124	12.611765	384.456559	6.084934931	391.440818	
182.067647	12.724843	384.453056	6.084876584	391.435741	
